2026-02-12 15:48:16.162	DELETE	D:\Xlab\tree7.drawio	ok: uploaded=recycle/2026-02-12/8bc8a0b5a7f39ce7a771db5fde5ce9b14366b371_tree7.drawio
2026-02-12 15:48:55.498	AI_VIEW	D:\Xlab\tree7.drawio	allowAnalyse=1
2026-02-12 15:48:55.499	AI_ANALYZE	D:\Xlab\tree7.drawio	start
2026-02-12 15:48:58.636	AI_ANALYZE	D:\Xlab\tree7.drawio	ok: risk=10
2026-02-12 15:51:31.037	AI_VIEW	D:\Xlab\tree7.drawio	allowAnalyse=1
2026-02-12 15:51:31.039	AI_VIEW_CACHE	D:\Xlab\tree7.drawio	hit
2026-02-12 15:51:38.147	AI_VIEW	D:\Xlab\tree7.drawio	allowAnalyse=0
2026-02-12 15:51:38.149	AI_VIEW_CACHE	D:\Xlab\tree7.drawio	hit
2026-02-12 15:51:40.395	AI_VIEW	D:\Xlab\tree7.drawio	allowAnalyse=1
2026-02-12 15:51:40.397	AI_VIEW_CACHE	D:\Xlab\tree7.drawio	hit
2026-02-12 15:51:45.969	AI_VIEW	D:\$RECYCLE.BIN\S-1-5-21-3244802024-2786838825-3542987131-1001\$R41P000\ops.log	allowAnalyse=0
2026-02-12 15:51:45.970	AI_VIEW_CACHE	D:\$RECYCLE.BIN\S-1-5-21-3244802024-2786838825-3542987131-1001\$R41P000\ops.log	miss (no_analyse)
2026-02-12 15:51:48.281	AI_VIEW	D:\$RECYCLE.BIN\S-1-5-21-3244802024-2786838825-3542987131-1001\$R41P000\ops.log	allowAnalyse=1
2026-02-12 15:51:48.283	AI_ANALYZE	D:\$RECYCLE.BIN\S-1-5-21-3244802024-2786838825-3542987131-1001\$R41P000\ops.log	start
2026-02-12 15:51:51.281	AI_ANALYZE	D:\$RECYCLE.BIN\S-1-5-21-3244802024-2786838825-3542987131-1001\$R41P000\ops.log	ok: risk=1
2026-02-12 15:52:50.641	AI_VIEW	D:\TencentMeeting\WeMeet\3.37.10.401\modules\relationship\login\nxres\res\drawable-xhdpi-v4\skip_by_wechat_auth_next.png	allowAnalyse=1
2026-02-12 15:52:50.643	AI_ANALYZE	D:\TencentMeeting\WeMeet\3.37.10.401\modules\relationship\login\nxres\res\drawable-xhdpi-v4\skip_by_wechat_auth_next.png	start
2026-02-12 15:52:53.844	AI_ANALYZE	D:\TencentMeeting\WeMeet\3.37.10.401\modules\relationship\login\nxres\res\drawable-xhdpi-v4\skip_by_wechat_auth_next.png	ok: risk=5
